Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
South East,E07000089,Hart,91033,8803,27281,22283,10286,27513,30282,47.6,52.4,82.67,Remain
Yorkshire and The Humber,E08000016,Barnsley,231221,27979,63568,57723,27664,83958,38951,68.31,31.69,69.95,Leave
Yorkshire and The Humber,E06000014,York,198051,33905,52515,43504,24293,45983,63617,41.96,58.04,70.69,Remain
East,E07000145,Great Yarmouth,97277,11673,23499,25562,14260,35844,14284,71.5,28.5,69.06,Leave
East Midlands,E07000172,Broxtowe,109487,13347,30552,27653,14168,35754,29672,54.65,45.35,78.32,Leave
East,E07000200,Babergh,87740,7753,22586,24424,13061,29933,25309,54.19,45.81,78.26,Leave
South East,E07000065,Wealden,148915,12467,36800,42011,24198,52808,44084,54.5,45.5,80.03,Leave
North West,E07000128,Wyre,107749,10256,25684,29970,19278,40163,22816,63.77,36.23,74.61,Leave
Wales,W06000023,Powys,132976,12342,31789,38550,21159,42707,36762,53.74,46.26,77,Leave
South West,E06000022,Bath and North East Somerset,176016,26136,45224,40854,23014,44352,60878,42.15,57.85,77.13,Remain
South East,E07000107,Dartford,97365,13280,29173,20179,10062,35870,19985,64.22,35.78,75.57,Leave
East Midlands,E06000017,Rutland,37369,3647,9328,9925,5518,11613,11353,50.57,49.43,78.2,Leave
South East,E06000036,Bracknell Forest,113205,14070,35812,24304,9934,35002,29888,53.94,46.06,76.11,Leave
Wales,W06000021,Monmouthshire,91323,8123,23619,25347,13413,27569,28061,49.56,50.44,77.74,Remain
North East,E06000048,Northumberland,316028,32411,80998,89888,44242,96699,82022,54.11,45.89,74.35,Leave
East,E07000012,South Cambridgeshire,148755,15231,43752,36384,17187,37061,56128,39.77,60.23,81.21,Remain
Yorkshire and The Humber,E07000166,Richmondshire,51965,7719,13036,12733,6279,15691,11945,56.78,43.22,75.15,Leave
East Midlands,E07000176,Rushcliffe,111129,11494,31125,28237,14417,29888,40522,42.45,57.55,81.56,Remain
South East,E07000114,Thanet,134186,14716,32438,34030,20505,46037,26065,63.85,36.15,72.8,Leave
West Midlands,E07000195,Newcastle-under-Lyme,123871,16482,32435,30878,15888,43457,25477,63.04,36.96,74.3,Leave
South East,E07000062,Hastings,90254,11390,24449,22121,10876,24339,20011,54.88,45.12,71.64,Leave
East,E07000148,Norwich,132512,28083,35920,24868,14302,29040,37326,43.76,56.24,69.12,Remain
Wales,W06000012,Neath Port Talbot,139812,16814,36990,36143,18410,43001,32651,56.84,43.16,71.57,Leave
East,E07000201,Forest Heath,59748,10183,16402,12827,6938,18160,9791,64.97,35.03,72.62,Leave
South East,E07000214,Surrey Heath,86144,8788,25450,20891,10138,26667,25638,50.98,49.02,79.81,Leave
North West,E07000028,Carlisle,107524,13221,28711,27489,14232,35895,23788,60.14,39.86,74.54,Leave
South West,E06000052,Cornwall,532273,54730,132084,150231,80017,182665,140540,56.52,43.48,77.05,Leave
Yorkshire and The Humber,E07000163,Craven,55409,4695,13738,16286,8923,18961,16930,52.83,47.17,81.02,Leave
East,E07000066,Basildon,174497,21025,49785,39692,19996,67251,30748,68.62,31.38,73.86,Leave
South West,E07000047,West Devon,53553,4638,13049,16069,8555,18937,16658,53.2,46.8,81.26,Leave
East,E07000099,North Hertfordshire,127114,13708,37706,29472,15761,35438,42234,45.63,54.37,78.27,Remain
West Midlands,E06000021,Stoke-on-Trent,249008,37245,67105,55880,27202,81563,36027,69.36,30.64,65.74,Leave
East,E07000098,Hertsmere,100031,11968,28582,22623,11853,28532,27593,50.84,49.16,76.62,Leave
East Midlands,E07000141,South Kesteven,133788,13060,36243,35823,17671,49424,33047,59.93,40.07,78.25,Leave
North West,E08000001,Bolton,276786,36356,76778,62788,29506,80491,57589,58.29,41.71,70.1,Leave
Wales,W06000016,Rhondda Cynon Taf,234410,30996,62434,56737,27887,62590,53973,53.7,46.3,67.47,Leave
West Midlands,E06000020,Telford and Wrekin,166641,21751,46982,38312,16155,56649,32954,63.22,36.78,72.15,Leave
London,E09000022,Lambeth,303086,69837,108188,42608,16564,30340,111584,21.38,78.62,67.44,Remain
East,E07000072,Epping Forest,124659,13287,35467,30965,16124,48176,28676,62.69,37.31,76.89,Leave
South West,E07000078,Cheltenham,115732,18509,32263,24789,14239,28932,37081,43.83,56.17,75.88,Remain
South West,E06000054,Wiltshire,470981,50191,128414,117978,60353,151637,137258,52.49,47.51,78.87,Leave
South West,E07000046,Torridge,63839,5659,15184,19333,10291,25200,16229,60.83,39.17,78.41,Leave
West Midlands,E07000222,Warwick,137648,20944,38986,31179,16339,33642,47976,41.22,58.78,79.22,Remain
North West,E08000009,Trafford,226578,25540,67444,50576,26514,53018,72293,42.31,57.69,75.86,Remain
Wales,W06000002,Gwynedd,121874,16191,28868,31111,17749,25665,35517,41.95,58.05,72.42,Remain
East Midlands,E07000133,Melton,50376,5072,13892,13493,6431,17610,12695,58.11,41.89,81.36,Leave
East,E07000009,East Cambridgeshire,83818,9005,24747,20110,10068,24487,23599,50.92,49.08,77.08,Leave
East,E07000011,Huntingdonshire,169508,19312,48929,42361,18425,54198,45729,54.24,45.76,77.82,Leave
South East,E07000211,Reigate and Banstead,137835,15112,41443,31672,16470,40980,40181,50.49,49.51,78.28,Leave
North West,E07000117,Burnley,87059,11325,23122,21109,9909,28854,14462,66.61,33.39,67.25,Leave
East Midlands,E06000015,Derby,248752,38280,68918,49743,27500,69043,51612,57.22,42.78,70.53,Leave
South East,E07000113,Swale,135835,15970,36844,33369,15443,47388,28481,62.46,37.54,74.27,Leave
South East,E07000108,Dover,111674,11735,28357,29990,15792,40410,24606,62.15,37.85,76.53,Leave
Wales,W06000015,Cardiff,346090,69250,92356,66270,33348,67816,101788,39.98,60.02,69.66,Remain
Yorkshire and The Humber,E08000034,Kirklees,422458,56301,117153,96095,44827,118755,98485,54.67,45.33,70.8,Leave
South East,E07000090,Havant,120684,13242,29907,31209,18414,44047,26582,62.36,37.64,74.1,Leave
London,E09000024,Merton,199693,32329,67702,35794,16748,37097,63003,37.06,62.94,73.49,Remain
Wales,W06000011,Swansea,239023,36079,61332,56036,30764,61936,58307,51.51,48.49,69.6,Leave
South West,E07000053,Weymouth and Portland,65167,7282,16441,17856,9559,23352,14903,61.04,38.96,75.87,Leave
North West,E08000005,Rochdale,211699,28116,57985,47691,21655,62014,41217,60.07,39.93,65.97,Leave
South East,E07000088,Gosport,82622,10384,22473,19411,10158,29456,16671,63.86,36.14,73.51,Leave
East,E06000032,Luton,203201,35433,57464,35380,17339,47773,36708,56.55,43.45,66.31,Leave
Wales,W06000024,Merthyr Tydfil,58802,8129,15470,14253,6901,16291,12574,56.44,43.56,67.39,Leave
East Midlands,E07000036,Erewash,112081,13121,31933,27307,14042,40739,25791,61.23,38.77,75.99,Leave
Wales,W06000009,Pembrokeshire,122439,12570,29260,33820,18783,39155,29367,57.14,42.86,74.39,Leave
Yorkshire and The Humber,E07000165,Harrogate,157869,15553,43385,40525,22200,46374,48211,49.03,50.97,78.89,Remain
South East,E07000004,Aylesbury Vale,174137,18635,51657,41699,18106,53956,52877,50.5,49.5,78.46,Leave
East Midlands,E07000139,North Kesteven,107766,10409,29134,28623,15643,42183,25570,62.26,37.74,78.4,Leave
South West,E06000030,Swindon,209156,27934,64709,44899,20401,61745,51220,54.66,45.34,75.9,Leave
South East,E06000042,Milton Keynes,248821,33652,77478,52151,18639,67063,63393,51.41,48.59,73.66,Leave
West Midlands,E08000030,Walsall,269323,35194,71680,59584,32588,92007,43572,67.86,32.14,69.68,Leave
West Midlands,E07000218,North Warwickshire,62014,6500,17078,16887,7667,25385,12569,66.88,33.12,76.27,Leave
South East,E07000179,South Oxfordshire,134257,13369,38343,33413,17125,37865,46245,45.02,54.98,80.75,Remain
North West,E06000050,Cheshire West and Chester,329608,38307,89756,83942,43268,98082,95455,50.68,49.32,74.51,Leave
East Midlands,E07000175,Newark and Sherwood,114817,12032,30832,30430,15063,40516,26571,60.39,39.61,76.86,Leave
North West,E07000119,Fylde,75757,6984,18987,21171,13331,26317,19889,56.96,43.04,75.57,Leave
West Midlands,E07000238,Wychavon,116944,10729,30533,32996,17524,44201,32188,57.86,42.14,80.88,Leave
Wales,W06000004,Denbighshire,93734,9737,23194,25138,13899,28117,23955,54,46,69.14,Leave
